clade	inclusive_count	exclusive_count
AY.62	1637	1637
AY.63	12	12
AY.64	1494	1494
AY.65	1320	1320
AY.66	54	54
AY.67	1925	1925
AY.68	823	823
AY.69	32	32
AY.7	14922	5550
AY.7.1	8670	8670
AY.7.2	702	702
AY.70	1030	1030
AY.71	345	345
AY.72	368	368
AY.73	454	454
AY.74	765	765
AY.75	16848	16819
AY.75.2	27	27
AY.75.3	2	2
AY.76	15	15
AY.77	333	333
AY.78	172	172
AY.79	102	102
AY.8	1768	1768
AY.80	1145	1145
AY.81	530	530
AY.82	21	21
AY.83	485	485
AY.84	1264	1264
AY.85	745	745
AY.86	71	71
AY.87	989	989
AY.88	575	575
AY.9	32466	13285
AY.9.2	19181	19096
AY.9.2.2	85	85
AY.90	1969	1969
AY.91	759	579
AY.91.1	180	180
AY.92	699	699
AY.93	7	7
AY.94	373	373
AY.95	146	146
AY.98	58192	43705
AY.98.1	14487	13891
AY.98.1.1	596	596
AY.99	5266	264
AY.99.1	218	218
AY.99.2	4784	4784
AZ.2	220	143
AZ.2.1	77	77
AZ.3	511	511
AZ.4	51	51
AZ.5	24	24
B	7935075	3928
B.1	7914767	67217
B.1.1	4541282	28143
B.1.1.1	7623	2157
B.1.1.10	952	728
B.1.1.101	17	17
B.1.1.107	31	31
B.1.1.109	24	24
B.1.1.111	32	32
B.1.1.113	141	141
B.1.1.114	18	18
B.1.1.115	286	120
B.1.1.116	8	8
B.1.1.117	5	5
B.1.1.118	16	16
B.1.1.119	29	29
B.1.1.12	133	133
B.1.1.120	26	26
B.1.1.121	3	3
B.1.1.122	10	10
B.1.1.123	53	53
B.1.1.125	95	95
B.1.1.128	102	102
B.1.1.129	211	2
B.1.1.13	17	17
B.1.1.130	72	72
B.1.1.132	61	61
B.1.1.133	21	21
B.1.1.134	83	83
B.1.1.135	190	181
B.1.1.136	35	35
B.1.1.137	75	75
B.1.1.138	180	180
B.1.1.139	32	32
B.1.1.14	58	58
B.1.1.141	110	110
B.1.1.142	943	738
B.1.1.144	24	24
B.1.1.145	20	20
B.1.1.147	16	16
B.1.1.148	17	17
B.1.1.149	65	65
B.1.1.15	84	84
B.1.1.152	3	3
B.1.1.153	273	273
B.1.1.154	24	24
B.1.1.155	2	2
B.1.1.157	2	2
B.1.1.158	46	46
B.1.1.159	47	47
B.1.1.16	11	11
B.1.1.160	10	10
B.1.1.161	48	48
B.1.1.162	26	26
B.1.1.163	12	12
B.1.1.164	202	202
B.1.1.165	76	76
B.1.1.166	29	29
B.1.1.168	55	55
B.1.1.169	10	10
B.1.1.17	53	53
B.1.1.170	363	363
B.1.1.171	72	72
B.1.1.172	29	29
B.1.1.174	154	154
B.1.1.175	7	7
B.1.1.176	18	18
B.1.1.177	24	24
B.1.1.178	20	20
B.1.1.180	89	89
B.1.1.181	22	22
B.1.1.182	6	6
B.1.1.185	6	6
B.1.1.186	200	200
B.1.1.187	14	14
B.1.1.189	450	282
B.1.1.190	13	13
B.1.1.192	261	261
B.1.1.193	10	10
B.1.1.194	24	24
B.1.1.196	192	192
B.1.1.197	30	30
B.1.1.198	754	754
B.1.1.200	143	120
B.1.1.201	2	2
B.1.1.203	22	22
B.1.1.204	121	121
B.1.1.205	93	93
B.1.1.207	683	683
B.1.1.208	80	80
B.1.1.209	30	30
B.1.1.210	20	20
B.1.1.213	49	49
B.1.1.214	446	446
B.1.1.216	158	124
B.1.1.217	282	282
B.1.1.218	63	63
B.1.1.219	90	90
B.1.1.220	240	240
B.1.1.221	2	2
B.1.1.222	17131	3855
B.1.1.224	6	6
B.1.1.225	127	127
B.1.1.226	21	21
B.1.1.227	237	237
B.1.1.228	358	358
B.1.1.229	32	32
B.1.1.231	188	188
B.1.1.232	377	291
B.1.1.234	67	67
B.1.1.236	97	97
B.1.1.237	181	181
B.1.1.239	37	37
B.1.1.240	240	240
B.1.1.241	356	237
B.1.1.242	9	9
B.1.1.243	34	34
B.1.1.244	626	122
B.1.1.249	12	12
B.1.1.25	12249	625
B.1.1.251	65	65
B.1.1.253	325	325
B.1.1.254	41	25
B.1.1.255	361	361
B.1.1.256	75	75
B.1.1.257	81	81
B.1.1.258	31	31
B.1.1.26	183	183
B.1.1.261	6	6
B.1.1.262	71	71
B.1.1.263	12	12
B.1.1.266	23	23
B.1.1.268	17	17
B.1.1.269	632	632
B.1.1.27	2	2
B.1.1.270	100	100
B.1.1.273	6	6
B.1.1.274	105	105
B.1.1.275	8	8
B.1.1.277	272	272
B.1.1.279	910	910
B.1.1.28	1912	275
B.1.1.280	18	18
B.1.1.282	41	41
B.1.1.283	2	2
B.1.1.284	262	262
B.1.1.285	55	55
B.1.1.286	345	345
B.1.1.288	9	9
B.1.1.289	551	551
B.1.1.29	135	135
B.1.1.290	40	40
B.1.1.291	955	955
B.1.1.294	282	258
B.1.1.296	64	64
B.1.1.297	207	204
B.1.1.298	11	11
B.1.1.299	81	81
B.1.1.3	142	142
B.1.1.300	91	91
B.1.1.301	853	853
B.1.1.302	25	25
B.1.1.303	354	354
B.1.1.304	1402	234
B.1.1.305	169	144
B.1.1.306	255	165
B.1.1.307	2435	2435
B.1.1.308	76	76
B.1.1.309	189	189
B.1.1.310	77	77
B.1.1.311	3062	3062
B.1.1.312	455	455
B.1.1.315	4924	42
B.1.1.316	1005	935
B.1.1.317	1501	1318
B.1.1.318	2531	1725
B.1.1.320	18	18
B.1.1.322	69	69
B.1.1.323	71	71
B.1.1.325	6	6
B.1.1.326	11	11
B.1.1.327	7	7
B.1.1.328	16	16
B.1.1.329	45	45
B.1.1.33	572	271
B.1.1.332	4	4
B.1.1.336	2	2
B.1.1.337	130	130
B.1.1.338	5	5
B.1.1.339	13	13
B.1.1.34	44	21
B.1.1.341	16	16
B.1.1.344	58	58
B.1.1.345	4	4
B.1.1.347	16	16
B.1.1.348	526	526
B.1.1.349	15	15
B.1.1.351	85	85
B.1.1.352	27	27
B.1.1.353	6	6
B.1.1.354	28	28
B.1.1.355	85	71
B.1.1.356	12	12
B.1.1.357	2	2
B.1.1.358	10	10
B.1.1.359	9	9
B.1.1.360	34	34
B.1.1.361	21	21
B.1.1.362	212	212
B.1.1.363	181	181
B.1.1.364	4	4
B.1.1.365	179	179
B.1.1.367	41	29
B.1.1.368	200	200
B.1.1.369	2438	2438
B.1.1.37	5452	5452
B.1.1.371	49	49
B.1.1.372	11476	1415
B.1.1.373	6	6
B.1.1.374	71	71
B.1.1.375	9	9
B.1.1.376	108	108
B.1.1.378	62	62
B.1.1.379	32	32
B.1.1.38	19	19
B.1.1.380	33	33
B.1.1.381	2	2
B.1.1.382	23	23
B.1.1.383	4	4
B.1.1.384	56	56
B.1.1.385	209	209
B.1.1.388	2	2
B.1.1.389	8	8
B.1.1.39	1611	1609
B.1.1.392	9	9
B.1.1.395	27	27
B.1.1.396	3	3
B.1.1.397	76	76
B.1.1.398	2	2
B.1.1.4	331	331
B.1.1.40	17	17
B.1.1.402	32	8
B.1.1.403	24	24
B.1.1.404	13	13
B.1.1.405	36	11
B.1.1.406	93	93
B.1.1.408	41	41
B.1.1.41	183	183
B.1.1.413	69	69
B.1.1.416	855	855
B.1.1.418	48	48
B.1.1.420	298	298
B.1.1.421	7	7
B.1.1.423	12	12
B.1.1.425	5	5
B.1.1.426	19	19
B.1.1.428	59	59
B.1.1.429	52	52
B.1.1.43	78	78
B.1.1.432	504	504
B.1.1.434	1168	1168
B.1.1.437	27	27
B.1.1.438	2	2
B.1.1.44	278	278
B.1.1.440	11	11
B.1.1.441	16	16
B.1.1.445	24	24
B.1.1.447	2	2
B.1.1.448	12	9
B.1.1.45	38	38
B.1.1.450	50	50
B.1.1.453	102	102
B.1.1.458	7	7
B.1.1.459	36	36
B.1.1.46	33	33
B.1.1.461	19	19
B.1.1.462	3	3
B.1.1.463	12	12
B.1.1.464	602	602
B.1.1.466	3	3
B.1.1.467	17	17
B.1.1.47	104	104
B.1.1.48	30	30
B.1.1.480	31	31
B.1.1.482	28	28
B.1.1.484	8	8
B.1.1.485	16	16
B.1.1.486	232	232
B.1.1.487	95	95
B.1.1.49	66	66
B.1.1.5	40	40
B.1.1.50	116	116
B.1.1.500	11	11
B.1.1.506	2	2
B.1.1.507	16	16
B.1.1.51	579	579
B.1.1.512	30	30
B.1.1.513	2	2
B.1.1.514	27	27
B.1.1.517	109	109
B.1.1.518	61	61
B.1.1.519	13119	13119
B.1.1.521	90	90
B.1.1.523	168	168
B.1.1.524	3	3
B.1.1.525	12	12
B.1.1.528	43	43
B.1.1.529	3753311	64
B.1.1.529_dropout	3753315	4
B.1.1.54	3	3
B.1.1.55	81	81
B.1.1.57	30	30
B.1.1.58	82	82
B.1.1.59	184	184
B.1.1.61	70	70
B.1.1.63	880	880
B.1.1.67	233	233
B.1.1.7	626070	619774
B.1.1.70	1654	1041
B.1.1.71	82	82
B.1.1.72	17	17
B.1.1.74	226	226
B.1.1.75	43	7
B.1.1.77	17	17
B.1.1.7_dropout	626180	110
B.1.1.8	196	185
B.1.1.82	22	22
B.1.1.83	338	338
B.1.1.86	26	26
B.1.1.89	140	140
B.1.1.92	31	31
B.1.1.93	33	33
B.1.1.95	64	64
B.1.1.97	30	30
B.1.1.98	7	7
B.1.103	56	56
B.1.104	246	246
B.1.105	116	116
B.1.106	24	24
B.1.108	91	91
B.1.110	1176	219
B.1.110.1	2	2
B.1.110.2	6	6
B.1.110.3	949	949
B.1.111	367	367
B.1.112	163	163
B.1.113	48	48
B.1.115	16	16
B.1.116	15	15
B.1.117	77	77
B.1.12	34	34
B.1.120	136	136
B.1.124	111	111
B.1.126	690	690
B.1.127	4	4
B.1.128	2	2
B.1.13	427	427
B.1.131	29	29
B.1.134	2	2
B.1.137	5	5
B.1.139	671	671
B.1.14	58	58
B.1.142	366	366
B.1.143	25	25
B.1.145	10	10
B.1.146	103	103
B.1.147	85	85
B.1.151	85	85
B.1.153	63	63
B.1.157	136	136
B.1.159	28	28
B.1.160	154	154
B.1.160.10	123	123
B.1.160.11	144	144
B.1.160.12	156	156
B.1.160.13	8	8
B.1.160.14	314	102
B.1.160.14_18580	212	212
B.1.160.15	189	189
B.1.160.16	1075	507
B.1.160.16_13923	568	568
B.1.160.19	26	26
B.1.160.20	104	104
B.1.160.22	134	134
B.1.160.23	222	222
B.1.160.25	20	20
B.1.160.26	354	354
B.1.160.28	91	91
B.1.160.29	200	200
B.1.160.30	875	875
B.1.160.31	143	119
B.1.160.32	186	186
B.1.160.33	206	206
B.1.160.7	732	526
B.1.160.8	2	2
B.1.160.9	95	95
B.1.161	4	4
B.1.162	100	100
B.1.163	14	14
B.1.164	9	9
B.1.165	69	69
B.1.166	117	117
B.1.167	13	13
B.1.168	37	37
B.1.170	31	31
B.1.173	35	35
B.1.177	111932	57955
B.1.177.10	1209	1209
B.1.177.11	541	541
B.1.177.12	12	12
B.1.177.15	2221	1667
B.1.177.16	1695	1695
B.1.177.17	1358	1358
B.1.177.18	948	948
B.1.177.19	750	750
B.1.177.2	222	222
B.1.177.20	751	751
B.1.177.21	124	124
B.1.177.23	306	306
B.1.177.24	8	8
B.1.177.25	2	2
B.1.177.26	246	246
B.1.177.28	72	72
B.1.177.3	121	121
B.1.177.30	553	553
B.1.177.31	40	40
B.1.177.32	126	126
B.1.177.33	102	102
B.1.177.35	20	20
B.1.177.39	8	8
B.1.177.4	5169	5169
B.1.177.40	3	3
B.1.177.43	551	551
B.1.177.44	1400	1400
B.1.177.45	2611	2611
B.1.177.46	5	5
B.1.177.47	82	82
B.1.177.48	347	347
B.1.177.5	883	883
B.1.177.50	15	15
B.1.177.51	108	108
B.1.177.52	273	254
B.1.177.53	1189	105
B.1.177.54	1780	1681
B.1.177.55	354	354
B.1.177.56	5540	1522
B.1.177.57	4018	4018
B.1.177.58	829	829
B.1.177.59	6	6
B.1.177.6	1042	1042
B.1.177.60	264	176
B.1.177.62	611	611
B.1.177.63	348	348
B.1.177.65	1562	1562
B.1.177.67	3	3
B.1.177.68	3	3
B.1.177.69	792	792
B.1.177.7	6316	6316
B.1.177.71	100	100
B.1.177.72	32	32
B.1.177.73	61	61
B.1.177.74	11	11
B.1.177.75	269	269
B.1.177.76	3	3
B.1.177.77	232	232
B.1.177.8	1377	1377
B.1.177.81	2926	2660
B.1.177.82	324	324
B.1.177.83	122	122
B.1.177.84	164	164
B.1.177.85	38	38
B.1.177.86	2538	2538
B.1.177.87	1400	1400
B.1.177.89	55	55
B.1.177.9	1389	836
B.1.178	12	12
B.1.179	11	11
B.1.180	3	3
B.1.181	21	21
B.1.182	4	4
B.1.184	13	13
B.1.187	15	15
B.1.188	29	29
B.1.189	77	77
B.1.190	83	83
B.1.194	5	5
B.1.195	18	18
B.1.198	14	14
B.1.199	140	140
B.1.2	83739	83739
B.1.201	300	300
B.1.203	3	3
B.1.205	7	7
B.1.206	228	187
B.1.208	6	6
B.1.210	64	64
B.1.211	7	7
B.1.213	46	46
B.1.214	501	501
B.1.215	108	108
B.1.218	59	59
B.1.219	17	17
B.1.22	284	284
B.1.220	70	70
B.1.221	3943	3430
B.1.221.1	370	370
B.1.221.2	132	132
B.1.221.3	5	5
B.1.221.4	6	6
B.1.222	559	559
B.1.223	283	283
B.1.225	207	207
B.1.227	4	4
B.1.229	85	85
B.1.23	129	129
B.1.231	23	23
B.1.232	1307	1307
B.1.233	12	12
B.1.234	4578	4578
B.1.235	419	419
B.1.236	337	337
B.1.238	72	72
B.1.239	573	573
B.1.240	3986	3890
B.1.240.2	34	34
B.1.241	1211	1211
B.1.243	9020	8843
B.1.243.1	23	23
B.1.243.2	16	16
B.1.245	27	27
B.1.248	33	33
B.1.249	13	13
B.1.250	72	72
B.1.251	47	47
B.1.252	97	97
B.1.254	40	40
B.1.256	60	60
B.1.258	7058	4581
B.1.258.10	96	96
B.1.258.11	8	8
B.1.258.12	129	129
B.1.258.14	45	45
B.1.258.17	1170	1170
B.1.258.2	57	33
B.1.258.22	2	2
B.1.258.23	43	43
B.1.258.3	463	463
B.1.258.4	307	307
B.1.258.5	125	125
B.1.258.6	54	54
B.1.258.7	543	543
B.1.264	79	79
B.1.265	562	562
B.1.267	41	41
B.1.268	99	99
B.1.273	103	103
B.1.274	29	29
B.1.276	15	15
B.1.277	16	16
B.1.280	670	670
B.1.281	37	37
B.1.282	71	71
B.1.287	33	33
B.1.289	245	245
B.1.293	49	49
B.1.294	74	74
B.1.298	208	208
B.1.3	282	282
B.1.301	177	177
B.1.302	12	12
B.1.304	25	25
B.1.305	450	450
B.1.306	120	120
B.1.308	112	112
B.1.309	11	11
B.1.310	16	16
B.1.311	2180	2180
B.1.313	110	110
B.1.314	70	70
B.1.315	261	261
B.1.318	22	22
B.1.319	165	165
B.1.320	686	681
B.1.321	16	16
B.1.323	136	136
B.1.324	630	630
B.1.325	18	18
B.1.328	29	29
B.1.329	35	35
B.1.330	112	112
B.1.332	184	184
B.1.333	7	7
B.1.334	16	16
B.1.335	25	25
B.1.336	205	205
B.1.337	231	231
B.1.338	101	101
B.1.340	148	148
B.1.341	13	13
B.1.342	2	2
B.1.344	56	56
B.1.346	393	393
B.1.348	49	49
B.1.349	755	755
B.1.35	149	149
B.1.350	13	6
B.1.350.1	7	7
B.1.351	8337	7591
B.1.351.2	285	285
B.1.351.3	454	454
B.1.351.5	7	7
B.1.355	54	54
B.1.356	236	236
B.1.359	21	21
B.1.36	7648	1164
B.1.36.1	390	390
B.1.36.10	70	70
B.1.36.12	106	106
B.1.36.16	421	421
B.1.36.17	2650	2166
B.1.36.18	16	16
B.1.36.19	4	4
B.1.36.2	202	202
B.1.36.20	74	74
B.1.36.21	5	5
B.1.36.22	3	3
B.1.36.23	47	47
B.1.36.24	154	154
B.1.36.26	9	9
B.1.36.27	604	604
B.1.36.28	185	185
B.1.36.29	206	206
B.1.36.31	205	205
B.1.36.34	33	33
B.1.36.35	289	289
B.1.36.38	260	58
B.1.36.39	484	484
B.1.36.7	139	139
B.1.36.8	328	319
B.1.36.9	299	299
B.1.360	87	87
B.1.361	497	497
B.1.362	307	95
B.1.362.1	15	15
B.1.362.2	197	197
B.1.363	68	68
B.1.366	195	195
B.1.367	805	805
B.1.369	4575	4554
B.1.37	65	65
B.1.370	95	95
B.1.372	3	3
B.1.375	784	784
B.1.377	162	162
B.1.378	25	25
B.1.379	55	55
B.1.38	29	29
B.1.381	74	74
B.1.382	109	109
B.1.383	129	129
B.1.384	293	293
B.1.385	90	90
B.1.389	935	935
B.1.39	15	15
B.1.390	66	66
B.1.391	887	887
B.1.393	16	16
B.1.395	251	102
B.1.396	592	592
B.1.397	153	153
B.1.398	89	89
B.1.399	359	359
B.1.40	60	60
B.1.400	2243	2038
B.1.400.1	57	57
B.1.401	393	327
B.1.402	91	91
B.1.403	303	303
B.1.404	408	408
B.1.405	66	66
B.1.407	25	25
B.1.408	172	172
B.1.409	475	475
B.1.411	7	7
B.1.413	225	225
B.1.415	35	35
B.1.415.1	20	20
B.1.416	260	260
B.1.416.1	379	379
B.1.418	70	70
B.1.420	51	51
B.1.421	148	148
B.1.423	71	71
B.1.424	7	7
B.1.425	252	252
B.1.426	1030	1030
B.1.427	14038	14038
B.1.428	74	23
B.1.428.1	29	29
B.1.428.2	12	12
B.1.428.3	3	3
B.1.429	44933	30854
B.1.429.1	41	41
B.1.431	25	25
B.1.433	237	237
B.1.435	71	71
B.1.436	89	89
B.1.437	38	38
B.1.438	19	19
B.1.438.1	27	27
B.1.438.3	21	21
B.1.438.4	57	57
B.1.439	104	104
B.1.44	126	126
B.1.441	42	42
B.1.442	25	25
B.1.443	176	176
B.1.444	68	68
B.1.445	19	19
B.1.448	143	143
B.1.450	18	18
B.1.451	52	52
B.1.452	94	72
B.1.453	269	269
B.1.456	2	2
B.1.459	2	2
B.1.460	47	47
B.1.462	32	32
B.1.463	3	3
B.1.465	195	195
B.1.466	14	14
B.1.466.1	39	39
B.1.466.2	35	32
B.1.467	23	23
B.1.468	2	2
B.1.469	124	124
B.1.470	11	11
B.1.471	323	323
B.1.473	46	46
B.1.474	40	40
B.1.478	54	54
B.1.479	26	26
B.1.480	91	91
B.1.483	6	6
B.1.485	66	66
B.1.487	9	9
B.1.489	32	32
B.1.491	18	18
B.1.492	143	143
B.1.493	29	29
B.1.494	21	21
B.1.495	11	11
B.1.496	25	25
B.1.497	52	52
B.1.498	21	21
B.1.499	53	50
B.1.499.1	3	3
B.1.500	9	9
B.1.501	33	33
B.1.502	11	11
B.1.503	361	361
B.1.504	14	14
B.1.505	40	40
B.1.507	53	53
B.1.508	31	31
B.1.509	789	789
B.1.510	4	4
B.1.511	3	3
B.1.513	6	6
B.1.515	59	59
B.1.516	218	218
B.1.517	1578	1578
B.1.518	82	82
B.1.520	10	10
B.1.521	112	112
B.1.523	239	239
B.1.524	78	78
B.1.525	2908	2908
B.1.526	33836	33836
B.1.530	140	140
B.1.531	14	14
B.1.532	166	166
B.1.533	67	67
B.1.539	48	48
B.1.541	112	112
B.1.543	34	34
B.1.544	149	149
B.1.545	30	30
B.1.546	41	41
B.1.548	11	11
B.1.549	160	160
B.1.550	62	62
B.1.551	728	728
B.1.552	35	35
B.1.554	80	80
B.1.555	23	23
B.1.556	78	78
B.1.557	19	19
B.1.558	258	258
B.1.559	40	40
B.1.560	251	211
B.1.561	1499	1499
B.1.562	4	4
B.1.563	49	49
B.1.564	4580	5
B.1.564.1	4	4
B.1.565	1305	1305
B.1.567	170	170
B.1.568	782	782
B.1.569	22	22
B.1.570	422	422
B.1.571	17	17
B.1.572	58	40
B.1.574	124	124
B.1.575	2620	2587
B.1.575.1	33	33
B.1.576	415	347
B.1.577	1013	1013
B.1.578	28	28
B.1.579	49	49
B.1.580	683	186
B.1.581	16	16
B.1.582	2956	1475
B.1.585	7	7
B.1.586	5	5
B.1.587	108	108
B.1.588	700	700
B.1.589	15	15
B.1.590	21	21
B.1.591	86	86
B.1.594	19	19
B.1.595	4697	2334
B.1.595.1	83	83
B.1.595.2	14	14
B.1.595.3	18	18
B.1.595.4	156	156
B.1.596	1254	1254
B.1.596.1	23	23
B.1.597	979	174
B.1.599	158	158
B.1.6	14	14
B.1.600	4	4
B.1.601	6	6
B.1.602	138	138
B.1.603	78	78
B.1.604	27	27
B.1.605	142	142
B.1.606	21	21
B.1.607	18	18
B.1.609	1197	1120
B.1.610	318	318
B.1.617.1	1055	1055
B.1.617.2	2884653	85581
B.1.617.3	26	26
B.1.618	2	2
B.1.619	90	90
B.1.619.1	8	8
B.1.620	189	189
B.1.621	6097	4691
B.1.621.1	1326	1028
B.1.621.2	80	80
B.1.623	1937	1937
B.1.625	255	255
B.1.626	112	112
B.1.627	298	298
B.1.629	11	11
B.1.631	177	177
B.1.632	59	59
B.1.633	3	3
B.1.634	181	181
B.1.635	20	20
B.1.636	78	78
B.1.637	11261	11207
B.1.637.1	54	54
B.1.639	34	34
B.1.640	84	1
B.1.640.1	55	55
B.1.640.2	28	28
B.1.67	22	22
B.1.69	23	23
B.1.70	36	36
B.1.76	84	84
B.1.77	23	23
B.1.78	99	51
B.1.8	255	255
B.1.81	33	33
B.1.9	325	53
B.1.9.1	32	32
B.1.9.2	10	10
B.1.9.4	170	170
B.1.9.5	60	60
B.1.91	149	149
B.1.93	1091	1091
B.1.96	33	33
B.1.97	41	41
B.10	139	139
B.11	122	122
B.12	21	21
B.13	21	21
B.15	63	63
B.18	21	21
B.19	27	27
B.20	43	43
B.23	355	355
B.26	66	66
B.27	60	60
B.28	264	264
B.29	247	247
B.3	1397	773
B.3.1	624	624
B.30	26	26
